year,F_PTAX_IW,F_WEA_IW,F_WTAX_IW,F_REV_IW,F_SHI_IW,F_RT_IW,F_FI,F_FI_NR,F_XTAX_IW,F_STAX_IW,F_SHL_IW,F_TAX_IW,F_HJK_FI,F_WEA_FI,F_GBG_FI,F_SNT_FI,F_ZSX_FI,F_SHI_FI,F_KTS_FI,F_ZKJ_FI,F_TTG_FI,F_RBR_FI,F_RT_FI,F_FO,F_FO_NR,F_SHS_FI,F_SNS_FI,F_PRB,F_SSM,F_DLT,F_SAINYU_RGDP,F_STAX_IW_RGDP,F_XTAX_IW_RGDP,F_SHL_IW_RGDP,F_SSR_IW_RGDP,F_KOS_RGDP,F_SAISYUTU_RGDP,F_MED_,F_KAG,F_MEK_RGDP,F_NK_RGDP,F_NKF,F_KKF,F_MKF,F_SNJ_FI_RGDP,F_RBR_FI_RGDP,F_FI_RGDP,F_FO_RGDP,F_TSN_RGDP,F_PRB_RGDP,F_SHS_FI_RGDP,F_XTAX_R,F_PRB
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,45577,16394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7775,NA,NA,NA,NA,NA,NA,129076.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,49368,18481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9295.4,NA,NA,NA,NA,NA,NA,151558.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,52437,19701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10513.5,NA,NA,NA,NA,NA,NA,170522.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,55980,20602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12025.4,NA,NA,NA,NA,NA,NA,194032.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,60212,21711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13134.7,NA,NA,NA,NA,NA,NA,211033.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,64744,24007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14105.4,NA,NA,NA,NA,NA,NA,227761.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,69191,25265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14598,NA,NA,NA,NA,NA,NA,250029.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,76182,26260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14848,NA,NA,NA,NA,NA,NA,269420.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,83512,27868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15056.5,NA,NA,NA,NA,NA,NA,281224.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,90120,30493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15396.8,NA,NA,NA,28846,NA,NA,289778.86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28846,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA
