year,P_EXCEPT_LIAB,P_REXCEPT_LIAB,P_KENSHO_EXCEPT_LIAB_KOKU,P_KENSHO_EXP_KOKU_KISO,P_KENSHO_LIAB_KOKU,P_KENSHO_EXP_KISO,P_PREMIUM,P_TOVER,P_MACROR_WORK,P_MACROR_KISO,P_MACROR,P_NPOP_JUKYU_KISO,P_RWAGE,P_EXP_KOKU,P_GRA_KOKU,P_NEXP_KOKU,P_NPOP,P_EXP_KISO,P_NPOP_ICHI,P_NPOP_NI,P_NPOP_SAN,P_RNOHU,P_EXP_KOSEI,P_GRA_KOSEI,P_EXP_KOKKA,P_GRA_KOKKA,P_EXP_CHIHOU,P_EXP_CHIHOU_TAISHOKU,P_EXP_CHIHOU_SHOGAI,P_EXP_CHIHOU_IZOKU,P_GRA_CHIHOU,P_EXP_SHIGAKU,P_EXP_SHIGAKU_TAISHOKU,P_EXP_SHIGAKU_SHOGAI,P_EXP_SHIGAKU_IZOKU,P_GRA_SHIGAKU,P_NEXP_WORK,P_NPOP_65O,P_NPOP_JUKYU_KOSEI,P_NPOP_JUKYU_KOKKA,P_NPOP_JUKYU_CHIHOU,P_NPOP_JUKYU_SHIGAKU,P_NPOP_JUKYU_WORK,P_NPOP_JUKYU_P,P_EXP_KOKU_KISO,P_EXP_WORK_KISO,P_GRA_WORK,P_REV_KOKU,P_MPRE_KOKU,P_REV_KOKKA_KAKE,P_REV_CHIHOU_KAKE,P_REV_KOKKA,P_REV_CHIHOU,P_REV_SHIGAKU,P_REV_KOSEI,P_REV_WORK,P_RPRE_KOSEI,P_INCOME_KOKU,P_INCOME_WORK,P_LIAB_KOKU,P_LIAB_WORK,P_AEXP_KOKU,P_AEXP_WORK,P_BA_KOKU,P_BA_WORK,P_RESERVE_KOKU,P_RESERVE_WORK,P_INVEST,P_REV_OTH_KOKU,P_REV_OTH_WORK,P_RNWAGE,P_REWARD_KOSEI,P_REWARD_KOKKA,P_REWARD_CHIHOU,P_REWARD_SHIGAKU,P_REWARD,P_EXP_OTH_KOKU,P_EXP_OTH_WORK,P_AREV_KOKU,P_AREV_WORK,P_R_NWAGE,P_RNWAGE_H16,P_NPOP_NI_KOSEI,P_NPOP_NI_KOKKA,P_NPOP_NI_CHIHOU,P_NPOP_NI_SHIGAKU,P_NPOP_SAN_KOSEI,P_NPOP_SAN_KOKKA,P_NPOP_SAN_CHIHOU,P_NPOP_SAN_SHIGAKU,P_RNPOP_P,P_ARNPOP_P,P_RMENJO,P_R_OTH_WORK,P_KENSHO_REV_OTH_WORK,P_KENSHO_REV_WORK,P_R_OTH_KOKU,P_KENSHO_REV_OTH_KOKU,P_KENSHO_REV_KOKU,one,P_NPOP_ICHI_SANTEI,P_WAGE_R
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
